FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          3     2     5592         5592         0.04           100.00%
1          3     2     6209         6209         0.04           100.00%
2          3     2     6249         6249         0.05           100.00%
3          2     3     9276         9276         0.09           100.00%
4          2     3     9791         9791         0.07           100.00%
5          2     3     43848        43848        0.34           100.00%
6          3     2     12096        12096        0.09           100.00%
7          3     2     9072         9072         0.07           100.00%
8          2     3     12774        12774        0.09           100.00%
9          3     2     5668         5668         0.05           100.00%
10         3     2     5088         5088         0.04           100.00%
11         2     3     5493         5493         0.04           100.00%
12         3     2     11049        11049        0.09           100.00%
13         3     2     8589         8589         0.06           100.00%
14         3     2     23685        23685        0.21           100.00%
15         2     3     5209         5209         0.04           100.00%
16         2     3     29597        29597        0.25           100.00%
17         2     3     5860         5860         0.04           100.00%
18         3     2     8455         8455         0.06           100.00%
19         2     3     18056        18056        0.16           100.00%
20         3     2     6295         6295         0.05           100.00%
21         2     3     18605        18605        0.12           100.00%
22         3     2     5131         5131         0.04           100.00%
23         3     2     8155         8155         0.07           100.00%
24         2     3     5483         5483         0.05           100.00%
25         3     2     5409         5409         0.04           100.00%
26         2     3     11542        11542        0.09           100.00%
27         3     2     12652        12652        0.10           100.00%
28         3     2     22544        22544        0.19           100.00%
29         3     2     8041         8041         0.05           100.00%
30         2     3     11588        11588        0.09           100.00%
31         3     2     9301         9301         0.08           100.00%
32         3     2     20464        20464        0.19           100.00%
33         2     3     6107         6107         0.04           100.00%
34         2     3     38269        38269        0.29           100.00%
35         2     3     8175         8175         0.06           100.00%
36         3     2     10087        10087        0.09           100.00%
37         3     2     7322         7322         0.06           100.00%
38         2     3     18587        18587        0.13           100.00%
39         3     2     4853         4853         0.04           100.00%
40         3     2     6035         6035         0.04           100.00%
41         3     2     4934         4934         0.05           100.00%
42         2     3     4795         4795         0.04           100.00%
43         3     2     5198         5198         0.04           100.00%
44         2     3     243972       243972       2.24           100.00%
45         3     2     4838         4838         1.14           100.00%
46         2     3     7132         7132         0.06           100.00%
47         2     3     6037         6037         0.04           100.00%
48         3     2     79583        79583        0.70           100.00%
49         3     2     5405         5405         0.25           100.00%
50         3     2     10290        10290        0.20           100.00%
51         3     2     24078        24078        0.18           100.00%
52         3     2     13912        13912        0.13           100.00%
53         3     2     55456        55456        0.55           100.00%
54         3     2     7290         7290         0.13           100.00%
55         2     3     21899        21899        0.37           100.00%
56         3     2     23087        23087        0.42           100.00%
57         3     2     23084        23084        0.34           100.00%
58         2     3     16577        16577        0.13           100.00%
59         2     3     8679         8679         0.07           100.00%
60         2     3     18828        18828        0.16           100.00%
61         3     2     50111        50111        0.38           100.00%
62         3     2     7208         7208         0.05           100.00%
63         3     2     24361        24361        0.23           100.00%
64         2     3     408172       408172       3.48           100.00%
65         3     2     6822         6822         0.80           100.00%
66         3     2     24785        24785        1.28           100.00%
67         3     2     13269        13269        1.14           100.00%
68         2     3     182080       182080       3.11           100.00%
69         3     2     31183        31183        0.90           100.00%
70         3     2     7216         7216         0.43           100.00%
71         3     2     7069         7069         0.07           100.00%
72         3     2     39564        39564        0.30           100.00%
73         2     3     20820        20820        0.17           100.00%
74         2     3     19842        19842        0.15           100.00%
75         3     2     16526        16526        0.17           100.00%
76         2     3     11334        11334        0.09           100.00%
77         3     2     16366        16366        0.22           100.00%
78         2     3     5196         5196         0.21           100.00%
79         2     3     5364         5364         0.04           100.00%
80         3     2     17870        17870        0.21           100.00%
81         3     2     6393         6393         0.17           100.00%
82         2     3     45126        45126        0.38           100.00%
83         2     3     6384         6384         0.05           100.00%
84         2     3     12773        12773        0.12           100.00%
85         3     2     7908         7908         0.07           100.00%
